FEATURE MATRIX - ESTRUCTURA OPTIMIZADA PARA XGBOOST,,,,,
"Variables ordenadas por PODER PREDICTIVO (1 = máximo, 615 = mínimo)",,,,,
Esta es la estructura de la TABLA PLANA que alimentará XGBoost,,,,,
,,,,,
PRIORIDAD,FEATURE_NAME,TIPO_DATO,NULL_ESPERADO,ORIGEN_TABLA,DESCRIPCIÓN
1,odds_home_close,"DECIMAL(6,3)",RARE,match_odds,Cuota cierre victoria local.
2,ah_home_odds_close,"DECIMAL(6,3)",RARE,match_odds,Cuota AH local al cierre.
3,odds_away_close,"DECIMAL(6,3)",RARE,match_odds,Cuota cierre victoria visitante.
4,ah_away_odds_close,"DECIMAL(6,3)",RARE,match_odds,Cuota AH visitante al cierre.
5,odds_draw_close,"DECIMAL(6,3)",RARE,match_odds,Cuota cierre empate.
6,odds_over25_close,"DECIMAL(6,3)",RARE,match_odds,Cuota cierre para >2.5 goles.
7,odds_under25_close,"DECIMAL(6,3)",RARE,match_odds,Cuota cierre para <2.5 goles.
8,odds_btts_no_close,"DECIMAL(6,3)",RARE,match_odds,Cuota NO ambos equipos marcan.
9,odds_btts_yes_close,"DECIMAL(5,2)",RARE,match_odds,Cuota ambos equipos marcan.
10,ah_line_close,"DECIMAL(6,3)",RARE,match_odds,Línea Handicap Asiático cierre.
11,total_goals_line_close,SMALLINT,RARE,match_odds,"Línea total goles cierre (2.5, 3.0)."
12,implied_prob_home,"DECIMAL(6,3)",RARE,match_odds,Probabilidad implícita victoria local.
13,implied_prob_draw,"DECIMAL(6,3)",RARE,match_odds,Probabilidad implícita empate.
14,implied_prob_away,"DECIMAL(6,3)",RARE,match_odds,Probabilidad implícita victoria visitante.
15,odds_movement_home,"DECIMAL(6,3)",RARE,match_odds,Cierre-apertura local. Detecta 'smart money'.
16,odds_movement_draw,"DECIMAL(6,3)",RARE,match_odds,Cierre-apertura empate.
17,odds_movement_away,"DECIMAL(6,3)",RARE,match_odds,Cierre-apertura visitante.
18,ah_line_open,"DECIMAL(6,3)",SOMETIMES,match_odds,Línea Handicap Asiático apertura.
19,odds_away_open,"DECIMAL(6,3)",RARE,match_odds,Cuota apertura victoria visitante.
20,odds_home_open,"DECIMAL(6,3)",RARE,match_odds,Cuota apertura victoria local.
21,odds_draw_open,"DECIMAL(6,3)",RARE,match_odds,Cuota apertura empate.
22,sharp_money_indicator,VARCHAR(100),SOMETIMES,match_odds,Línea+volumen = dinero profesional.
23,odds_vs_form_discrepancy_home,"DECIMAL(6,3)",SOMETIMES,cross_correlation_features,Discrepancia cuotas vs forma local.
24,odds_vs_form_discrepancy_away,"DECIMAL(6,3)",SOMETIMES,cross_correlation_features,Discrepancia cuotas vs forma visitante.
25,xg_last5,"DECIMAL(5,3)",RARE,team_season_stats,xG en últimos 5 partidos.
26,xga_last5,"DECIMAL(5,3)",RARE,team_season_stats,xGA en últimos 5 partidos.
27,h2h_avg_goals_last5,"DECIMAL(6,3)",RARE,match_h2h,Promedio goles totales últimos 5.
28,goals_scored_last5,SMALLINT,RARE,team_season_stats,Goles a favor últimos 5.
29,goals_conceded_last5,SMALLINT,RARE,team_season_stats,Goles en contra últimos 5.
30,goals_last5,SMALLINT,RARE,player_season_stats,Goles en últimos 5 partidos.
31,form_last5,VARCHAR(100),RARE,team_season_stats,Puntos en últimos 5 partidos.
32,form_last5_home,VARCHAR(100),RARE,team_season_stats,Puntos últimos 5 en casa.
33,form_last5_away,VARCHAR(100),RARE,team_season_stats,Puntos últimos 5 fuera.
34,h2h_last5_draws,VARCHAR(100),RARE,match_h2h,Empates últimos 5 H2H.
35,clubs_last_5_years,"DECIMAL(5,2)",RARE,player_season_stats,Número de clubes diferentes en últimos 5 años.
36,h2h_last5_home_wins,VARCHAR(100),RARE,match_h2h,Victorias local últimos 5 H2H.
37,h2h_btts_rate_last5,"DECIMAL(5,2)",RARE,match_h2h,% partidos ambos marcaron últimos 5.
38,assists_last5,SMALLINT,RARE,player_season_stats,Asistencias en últimos 5.
39,motm_count_last5,SMALLINT,RARE,player_season_stats,MVPs en últimos 5 partidos (racha de confianza).
