league_id,league_name,country,season,total_missing,sampled,api_ok,partial,no_data,error,coverage_pct,avg_latency_ms,decision
128,Argentina Primera División,Argentina,2022,578,0,0,0,0,0,,,DRY_RUN
128,Argentina Primera División,Argentina,2021,521,0,0,0,0,0,,,DRY_RUN
71,Brazil Serie A,Brazil,2021,492,0,0,0,0,0,,,DRY_RUN
253,MLS,USA,2022,486,0,0,0,0,0,,,DRY_RUN
253,MLS,USA,2021,467,0,0,0,0,0,,,DRY_RUN
203,Süper Lig,Turkey,2021,460,0,0,0,0,0,,,DRY_RUN
239,Colombia Primera A,Colombia,2019,451,0,0,0,0,0,,,DRY_RUN
239,Colombia Primera A,Colombia,2022,451,0,0,0,0,0,,,DRY_RUN
135,Serie A,Italy,2021,431,0,0,0,0,0,,,DRY_RUN
239,Colombia Primera A,Colombia,2021,411,0,0,0,0,0,,,DRY_RUN
39,Premier League,England,2021,408,0,0,0,0,0,,,DRY_RUN
140,La Liga,Spain,2021,407,0,0,0,0,0,,,DRY_RUN
61,Ligue 1,France,2021,402,0,0,0,0,0,,,DRY_RUN
39,Premier League,England,2017,401,0,0,0,0,0,,,DRY_RUN
140,La Liga,Spain,2019,391,0,0,0,0,0,,,DRY_RUN
135,Serie A,Italy,2017,390,0,0,0,0,0,,,DRY_RUN
140,La Liga,Spain,2017,390,0,0,0,0,0,,,DRY_RUN
135,Serie A,Italy,2016,389,0,0,0,0,0,,,DRY_RUN
61,Ligue 1,France,2019,388,0,0,0,0,0,,,DRY_RUN
299,Venezuela Primera División,Venezuela,2019,388,0,0,0,0,0,,,DRY_RUN
61,Ligue 1,France,2017,382,0,0,0,0,0,,,DRY_RUN
135,Serie A,Italy,2018,382,0,0,0,0,0,,,DRY_RUN
71,Brazil Serie A,Brazil,2022,380,0,0,0,0,0,,,DRY_RUN
140,La Liga,Spain,2018,380,0,0,0,0,0,,,DRY_RUN
39,Premier League,England,2019,379,0,0,0,0,0,,,DRY_RUN
39,Premier League,England,2016,378,0,0,0,0,0,,,DRY_RUN
61,Ligue 1,France,2016,378,0,0,0,0,0,,,DRY_RUN
128,Argentina Primera División,Argentina,2023,378,0,0,0,0,0,,,DRY_RUN
39,Premier League,England,2018,371,0,0,0,0,0,,,DRY_RUN
140,La Liga,Spain,2016,370,0,0,0,0,0,,,DRY_RUN
61,Ligue 1,France,2018,369,0,0,0,0,0,,,DRY_RUN
203,Süper Lig,Turkey,2023,368,0,0,0,0,0,,,DRY_RUN
203,Süper Lig,Turkey,2024,363,0,0,0,0,0,,,DRY_RUN
344,Bolivia Primera División,Bolivia,2019,363,0,0,0,0,0,,,DRY_RUN
39,Premier League,England,2022,361,0,0,0,0,0,,,DRY_RUN
135,Serie A,Italy,2019,359,0,0,0,0,0,,,DRY_RUN
140,La Liga,Spain,2020,355,0,0,0,0,0,,,DRY_RUN
265,Chile Primera División,Chile,2021,354,0,0,0,0,0,,,DRY_RUN
61,Ligue 1,France,2022,353,0,0,0,0,0,,,DRY_RUN
88,Eredivisie,Netherlands,2021,350,0,0,0,0,0,,,DRY_RUN
94,Primeira Liga,Portugal,2021,350,0,0,0,0,0,,,DRY_RUN
135,Serie A,Italy,2020,349,0,0,0,0,0,,,DRY_RUN
140,La Liga,Spain,2022,348,0,0,0,0,0,,,DRY_RUN
281,Perú Liga 1,Peru,2022,346,0,0,0,0,0,,,DRY_RUN
78,Bundesliga,Germany,2021,344,0,0,0,0,0,,,DRY_RUN
203,Süper Lig,Turkey,2025,342,0,0,0,0,0,,,DRY_RUN
135,Serie A,Italy,2022,341,0,0,0,0,0,,,DRY_RUN
262,Mexico Liga MX,Mexico,2021,339,0,0,0,0,0,,,DRY_RUN
262,Mexico Liga MX,Mexico,2022,338,0,0,0,0,0,,,DRY_RUN
